dataset,image_path,mse,ssim
Chilli_Leaves,unknown_6,0.05638722702860832,0.38881048560142517
Chilli_Leaves,unknown_7,0.08972251415252686,0.4000970423221588
Chilli_Leaves,unknown_8,0.04183545708656311,0.3439253568649292
Chilli_Leaves,unknown_9,0.09528617560863495,0.27603527903556824
Chilli_Leaves,unknown_10,0.07054156064987183,0.34918978810310364
Chilli_Leaves,unknown_11,0.08368457108736038,0.3966543674468994
Chilli_Leaves,unknown_12,0.11580151319503784,0.28905045986175537
Chilli_Leaves,unknown_13,0.08909731358289719,0.33900871872901917
Chilli_Leaves,unknown_14,0.052364151924848557,0.5768874287605286
Chilli_Leaves,unknown_15,0.08599665015935898,0.2780296802520752
Chilli_Leaves,unknown_0,0.11081899702548981,0.37744590640068054
Chilli_Leaves,unknown_1,0.09232964366674423,0.3283795416355133
Chilli_Leaves,unknown_2,0.12198168784379959,0.3991323411464691
Chilli_Leaves,unknown_3,0.08439328521490097,0.36590370535850525
Chilli_Leaves,unknown_4,0.07363677024841309,0.42253270745277405
Chilli_Leaves,unknown_5,0.10749862343072891,0.3427342176437378
Chilli_Leaves,unknown_6,0.047653354704380035,0.5833759307861328
Chilli_Leaves,unknown_7,0.08782225102186203,0.35666120052337646
Chilli_Leaves,unknown_8,0.10950126498937607,0.3258468210697174
Chilli_Leaves,unknown_9,0.06391407549381256,0.287588506937027
Chilli_Leaves,unknown_10,0.03953291475772858,0.5987691879272461
Chilli_Leaves,unknown_11,0.10153807699680328,0.2771039605140686
Chilli_Leaves,unknown_12,0.07406869530677795,0.3315751254558563
Chilli_Leaves,unknown_13,0.06725194305181503,0.4700755178928375
Chilli_Leaves,unknown_14,0.08905909210443497,0.3572888672351837
Chilli_Leaves,unknown_15,0.11902225017547607,0.252384752035141
Chilli_Leaves,unknown_0,0.041523728519678116,0.6070712208747864
Chilli_Leaves,unknown_1,0.07818741351366043,0.2970619797706604
Chilli_Leaves,unknown_2,0.10295119881629944,0.3050534725189209
Chilli_Leaves,unknown_3,0.06529825180768967,0.574529230594635
Chilli_Leaves,unknown_4,0.11593248695135117,0.28917428851127625
Chilli_Leaves,unknown_5,0.0817493349313736,0.34835442900657654
Chilli_Leaves,unknown_6,0.11091021448373795,0.21963171660900116
Chilli_Leaves,unknown_7,0.055487871170043945,0.41308796405792236
Chilli_Leaves,unknown_8,0.12449139356613159,0.3434406518936157
Chilli_Leaves,unknown_9,0.07922917604446411,0.2921024262905121
Chilli_Leaves,unknown_10,0.09007378667593002,0.3852826654911041
Chilli_Leaves,unknown_11,0.12961556017398834,0.27739647030830383
Chilli_Leaves,unknown_12,0.07635939121246338,0.3861134946346283
Chilli_Leaves,unknown_13,0.06771639734506607,0.3861492872238159
Chilli_Leaves,unknown_14,0.06751871854066849,0.3740677833557129
Chilli_Leaves,unknown_15,0.08514449000358582,0.3502477705478668
Chilli_Leaves,unknown_0,0.08034051954746246,0.3001110255718231
Chilli_Leaves,unknown_1,0.11399107426404953,0.33247360587120056
Chilli_Leaves,unknown_2,0.09672104567289352,0.3475366532802582
Chilli_Leaves,unknown_3,0.04311991110444069,0.5824047923088074
Chilli_Leaves,unknown_4,0.07756369560956955,0.30970683693885803
Chilli_Leaves,unknown_5,0.06295987218618393,0.28251171112060547
Chilli_Leaves,unknown_6,0.08699848502874374,0.32561835646629333
Chilli_Leaves,unknown_7,0.11910802125930786,0.3237977921962738
Chilli_Leaves,unknown_8,0.08803755789995193,0.3497943878173828
